"filename", "language", "JavaScript", "TypeScript", "TypeScript React", "XML", "CSS", "JavaScript React", "JSON", "Less", "comment", "blank", "total"
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/iconunCheck.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/ios.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 0, 16
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/kr1Icon.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 0, 19
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/kr2Icon.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 1, 0, 20
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/kr3Icon.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 1, 0, 25
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/labelb.svg", "XML", 0, 0, 0, 21, 0, 0, 0, 0, 1, 0, 22
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/learn.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 0, 19
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/left.svg", "XML", 0, 0, 0, 26, 0, 0, 0, 0, 1, 0, 27
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/lineMagic.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/linkBigIcon.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 1, 0, 24
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/linkIcon.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 1, 0, 18
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/list.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/local.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 0, 16
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/logo.svg", "XML", 0, 0, 0, 117, 0, 0, 0, 0, 1, 0, 118
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/member.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 0, 19
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/messageButton.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/messageFinish.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/messageHand.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/messageTime.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/messageType20.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 0, 16
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/messageType21.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/messageType22.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
