Date : 2023-01-18 11:55:38
Directory : /Users/xiaodi/Desktop/program/react/react-workfly/src
Total : 659 files,  83959 codes, 8018 comments, 3083 blanks, all 95060 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/common/common.tsx                       | TypeScript React |        379 |         37 |          9 |        425 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/company.css                     | CSS              |        200 |          4 |         20 |        224 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/company.tsx                     | TypeScript React |        312 |         21 |          9 |        342 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyAccount.css              | CSS              |         34 |          0 |          1 |         35 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyAccount.tsx              | TypeScript React |         37 |         27 |          3 |         67 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyDepartment.css           | CSS              |        109 |          0 |          7 |        116 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyDepartment.tsx           | TypeScript React |        527 |        138 |         17 |        682 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyEdit.css                 | CSS              |         91 |          0 |          1 |         92 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyEdit.tsx                 | TypeScript React |        354 |        134 |          9 |        497 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyGroup.css                | CSS              |         34 |          0 |          1 |         35 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyGroup.tsx                | TypeScript React |        699 |        200 |         11 |        910 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyOkr.css                  | CSS              |         17 |          0 |          1 |         18 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyOkr.tsx                  | TypeScript React |        143 |          1 |          1 |        145 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyPerson.css               | CSS              |         82 |          0 |          2 |         84 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companyPerson.tsx               | TypeScript React |        913 |         89 |         21 |      1,023 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companySearch.css               | CSS              |         27 |          1 |          1 |         29 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companySearchList.tsx           | TypeScript React |        592 |          7 |         16 |        615 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/company/companySubject.tsx              | TypeScript React |        318 |          2 |         15 |        335 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/companyBasic/company.css                | CSS              |        267 |          4 |         35 |        306 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/companyBasic/company.tsx                | TypeScript React |      1,041 |         10 |         11 |      1,062 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/companyBasic/companyHeader.css          | CSS              |         30 |          0 |          1 |         31 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/companyBasic/companyHeader.tsx          | TypeScript React |         36 |          2 |          4 |         42 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/contact/contact.css                     | CSS              |        229 |          3 |         33 |        265 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/contact/contact.tsx                     | TypeScript React |      1,039 |         96 |         18 |      1,153 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/contact/contactMember.css               | CSS              |         72 |          0 |         10 |         82 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/contact/contactMember.tsx               | TypeScript React |        255 |          2 |          1 |        258 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/content/content.css                     | CSS              |        246 |         16 |         31 |        293 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/content/content.tsx                     | TypeScript React |        401 |        272 |         11 |        684 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/content/contentHeader.css               | CSS              |         17 |          1 |          1 |         19 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/content/contentHeader.tsx               | TypeScript React |         40 |         10 |          3 |         53 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/content/contentModal.css                | CSS              |        110 |          4 |         16 |        130 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/content/contentModal.tsx                | TypeScript React |        171 |         60 |          5 |        236 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/content/contentTime.tsx                 | TypeScript React |         49 |          1 |          2 |         52 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/create/create.css                       | CSS              |          0 |          0 |          1 |          1 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/create/create.tsx                       | TypeScript React |         33 |          0 |          2 |         35 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/download.css                   | CSS              |        264 |          3 |         54 |        321 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/download.tsx                   | TypeScript React |        211 |         22 |          4 |        237 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/help.tsx                       | TypeScript React |         43 |          1 |          1 |         45 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/img/icon0.svg                  | XML              |         14 |          1 |          0 |         15 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/img/icon1.svg                  | XML              |         14 |          1 |          0 |         15 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/img/icon2.svg                  | XML              |         14 |          1 |          0 |         15 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/img/icon3.svg                  | XML              |         14 |          1 |          0 |         15 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/img/icon4.svg                  | XML              |         14 |          1 |          0 |         15 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/img/icon5.svg                  | XML              |         13 |          1 |          0 |         14 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/img/iphone0.svg                | XML              |         10 |          1 |          0 |         11 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/img/iphone1.svg                | XML              |         10 |          1 |          0 |         11 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/img/iphone2.svg                | XML              |         10 |          1 |          0 |         11 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/download/img/local.svg                  | XML              |         15 |          1 |          0 |         16 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/file/file.css                           | CSS              |         49 |          0 |          1 |         50 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/file/file.tsx                           | TypeScript React |        597 |         67 |          5 |        669 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/file/fileHeader.css                     | CSS              |         31 |          0 |          3 |         34 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/file/fileHeader.tsx                     | TypeScript React |         77 |          2 |          2 |         81 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/file/fileInfo.css                       | CSS              |          0 |          0 |          1 |          1 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/file/fileInfo.tsx                       | TypeScript React |         12 |          1 |          2 |         15 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/Untitled-1.json              | JSON             |          1 |          0 |          0 |          1 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTable.css               | CSS              |          9 |          5 |          1 |         15 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTable.tsx               | TypeScript React |         84 |          1 |          7 |         92 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableChat.css           | CSS              |        208 |          0 |          3 |        211 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableChat.tsx           | TypeScript React |      1,164 |         74 |          9 |      1,247 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableData.css           | CSS              |        272 |          2 |         38 |        312 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableData.tsx           | TypeScript React |        395 |        136 |         15 |        546 |
